date;temperature;precipitation;humidity;evaporation;GTK
2022-01-21;-14.438;0.6;79.125;0.135;
2022-01-22;-19.175;0.0;78.5;0.042;
2022-01-23;-18.275;0.2;81.125;0.05;
2022-01-24;-16.05;0.0;81.0;0.088;
2022-01-25;-17.475;1.2;78.75;0.07;
2022-01-26;-16.6;2.3;79.0;0.086;
2022-01-27;-19.812;0.5;78.5;0.034;
2022-01-28;-15.925;0.3;76.5;0.112;
2022-01-29;-13.062;0.2;75.625;0.202;
2022-01-30;-12.175;0.0;71.625;0.271;
2022-01-31;-8.588;0.0;75.75;0.379;
2022-02-01;-7.462;0.4;80.75;0.381;
2022-02-02;-6.362;3.0;84.375;0.349;
2022-02-03;-8.712;0.4;84.375;0.266;
2022-02-04;-10.912;0.0;80.75;0.246;
2022-02-05;-11.012;0.0;63.25;0.462;
2022-02-06;-9.175;0.0;61.75;0.616;
2022-02-07;-10.988;0.0;71.875;0.355;
2022-02-08;-13.425;0.0;72.0;0.241;
2022-02-09;-15.525;0.0;65.5;0.199;
2022-02-10;-18.238;0.0;58.125;0.123;
2022-02-11;-18.125;0.0;60.75;0.119;
2022-02-12;-18.325;0.0;64.5;0.102;
2022-02-13;-14.262;0.2;70.0;0.222;
2022-02-14;-9.3;3.4;78.125;0.347;
2022-02-15;-6.362;2.5;83.375;0.371;
2022-02-16;-13.962;1.0;76.25;0.186;
2022-02-17;-15.5;0.6;77.75;0.129;
2022-02-18;-7.538;4.0;81.625;0.36;
2022-02-19;-8.188;0.0;74.125;0.47;
2022-02-20;-11.438;0.0;66.875;0.392;
2022-02-21;-7.362;0.0;49.0;1.02;
2022-02-22;-5.075;0.0;63.5;0.932;
2022-02-23;-3.55;3.5;77.625;0.662;
2022-02-24;-3.588;0.0;77.25;0.671;
2022-02-25;-2.638;0.0;80.0;0.643;
2022-02-26;-4.05;0.2;73.625;0.744;
2022-02-27;-8.012;0.0;79.0;0.39;
2022-02-28;-8.25;3.0;83.625;0.295;
2022-03-01;-7.85;0.8;80.625;0.331;
